Name,English Translation,Category,Sub-category,Official Kodokan,Video URL
Te-guruma,Hand wheel,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=SnZciTAY9vc
Uki-goshi,Floating hip,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=yRyLMRW14Ug
Tsuri-goshi,Lifting hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=dyKXrAQpJx8
Uchi-mata,Inner thigh throw,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=wUGhhF8d8W4
De-ashi-harai,Advanced foot sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=ZnnHko8sIQ4
O-uchi-barai,Major inner sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Ko-uchi-gake,Minor inner hook,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Uki-waza,Floating technique,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=vpr8A08Eixw
Yoko-tomoe-nage,Side circle throw,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=880WbHvHv6A
Harai-makikomi,Sweeping wraparound throw,Nage-waza,Makikomi-waza,Yes,https://www.youtube.com/watch?v=VBaHzKaCXss
Hane-makikomi,Spring wraparound throw,Nage-waza,Makikomi-waza,Yes,https://www.youtube.com/watch?v=6CRBGLGz9j8
O-soto-gaeshi,Major outer reap counter,Nage-waza,Kaeshi-waza,Yes,https://www.youtube.com/watch?v=8ZjM3X_EANo
Ko-soto-gaeshi,Minor outer reap counter,Nage-waza,Kaeshi-waza,Yes,https://www.youtube.com/watch?v=8ZjM3X_EANo
Harai-goshi-gaeshi,Sweeping hip throw counter,Nage-waza,Kaeshi-waza,Yes,https://www.youtube.com/watch?v=4U3It-7PPsc
Uchi-mata-gaeshi,Inner thigh counter,Nage-waza,Kaeshi-waza,Yes,https://www.youtube.com/watch?v=Sy6sLWxkWYw
Uchi-mata-sukashi,Inner thigh void,Nage-waza,Kaeshi-waza,Yes,https://www.youtube.com/watch?v=iUpSu5J-bgw
Kesa-gatame,Scarf hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=4QuzAAucQsA
Hon-kesa-gatame,Main scarf hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=NDaQuJOFBYk
Kuzure-kesa-gatame,Broken scarf hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=-zFQ6h4yKT4
Ushiro-kesa-gatame,Reverse scarf hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=4QuzAAucQsA
Kami-shiho-gatame,Upper four-corner hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=YUrogQWdwiY
Kuzure-kami-shiho-gatame,Broken upper four-corner hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=YUrogQWdwiY
Yoko-shiho-gatame,Side four-corner hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=yK_GSamSPko
Kuzure-yoko-shiho-gatame,Broken side four-corner hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=TT7XJVSEQxA
Tate-shiho-gatame,Vertical four-corner hold,Katame-waza,Osaekomi-waza,Yes,https://www.youtube.com/watch?v=JMJBjnst_DA
Nami-juji-jime,Normal cross choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=k2cHry9HByQ
Gyaku-juji-jime,Reverse cross choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=t3tQriIPdlI
Kata-juji-jime,Half cross choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=3VZVUAmiMD8
Hadaka-jime,Naked choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=9f0n8jez7iA
Okuri-eri-jime,Sliding collar choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=EiqyoVcIAi8
Kata-ha-jime,Single wing choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Sankaku-jime,Triangle choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=lq1CUBRAm7s
Sode-guruma-jime,Sleeve wheel choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=E3nvQzClcAU
Tsukkomi-jime,Thrust choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=dKKpnD3eLcY
Ryote-jime,Two-hand choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=-RHC4V7TQiY
Morote-jime,Two-handed choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Ashi-jime,Leg choke,Katame-waza,Shime-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Juji-gatame,Cross arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=OWgSOlCuMXw
Ude-garami,Entangled arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=AIlTvZb4RlE
Ude-hishigi-juji-gatame,Cross armlock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=OWgSOlCuMXw
Ude-hishigi-ude-gatame,Straight arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=SBf0aTma1VI
Ude-hishigi-hiza-gatame,Knee arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=H2HtAJdiJcE
Ude-hishigi-waki-gatame,Armpit arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=8F5p1zuJRG0
Ude-hishigi-hara-gatame,Stomach arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=ZzEycg8R_9M
Ude-hishigi-ashi-gatame,Leg arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=ClY7g_pX-4s
Ude-hishigi-te-gatame,Hand arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=6DnvhY0tQVM
Ude-hishigi-sankaku-gatame,Triangle arm lock,Katame-waza,Kansetsu-waza,Yes,https://www.youtube.com/watch?v=WefAmW4azhk
Ashi-garami,Leg entanglement lock,Katame-waza,Kansetsu-waza,Historically,https://www.youtube.com/watch?v=BWWb0GoAtZw
